Instance,nvar,,LS-DivSAT,,,,DiversekSet,,,,DiverSAT,,
,,,avg.dis,time,Quality,,avg.dis,time,Quality,,avg.dis,time,Quality
hardware/cnf_cbpmas_prop_10_16008_2.cnf_9.58000000.sat,83908,,933650.8,1314.7,0.247268384,,872441.7,472.2,0.231057746,,880653.5,2570.3,0.233232562
hardware/cnf_cbpmas_prop_11_16336_2.cnf_8.83000000.sat,83908,,930951.5,1085.5,0.2465535,,878809.5,304.8,0.232744196,,886686.4,1948.1,0.234830317
hardware/cnf_cbpmas_prop_12_16652_2.cnf_8.53000000.sat,83908,,932008,961.3,0.246833304,,878809.5,340.6,0.232744196,,886778.8,2145.1,0.234854788
hardware/cnf_cbpmas_prop_13_16976_2.cnf_12.90000000.sat,83908,,934980,643.5,0.24762041,,875525.5,298.5,0.23187446,,885763.2,2220,0.234585816
hardware/cnf_cbpmas_prop_14_17461_2.cnf_15.76000000.sat,83908,,935659,576.3,0.247800236,,875525.5,386.3,0.23187446,,885612.9,2444.9,0.234546011
hardware/cnf_cbpmas_prop_15_17791_2.cnf_8.99000000.sat,83908,,935020.9,569.8,0.247631242,,867178.2,472.7,0.229663759,,879064.9,2647.5,0.232811836
hardware/cnf_cbpmas_prop_16_18128_2.cnf_8.98000000.sat,83908,,935020.9,575.5,0.247631242,,867178.2,380.8,0.229663759,,878867.5,2619.3,0.232759557
hardware/cnf_cbpmas_prop_17_18428_2.cnf_12.10000000.sat,83908,,933449,1043.3,0.247214939,,870334.5,253.2,0.230499674,,885870,2185.7,0.234614101
hardware/cnf_cbpmas_prop_18_18898_2.cnf_13.26000000.sat,83908,,933449,1046.5,0.247214939,,870334.5,258.8,0.230499674,,886224.5,2230.6,0.234707987
hardware/cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat,5200,,90116.8,1608.7,0.38511453,,87725.8,<1,0.374896581,,88317.7,2067.4,0.377426068
hardware/cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat,83908,,926078.8,738.5,0.245263013,,870454,328.3,0.230531323,,879041.9,2084.2,0.232805745
hardware/cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat,83908,,903218.5,682.9,0.239208684,,828668.1,297.6,0.219464731,,845134.5,2115.1,0.223825698
hardware/cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat,5200,,90060.1,1326.4,0.384872222,,87725.8,<1,0.374896581,,88337.4,2316.7,0.377510256
hardware/cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat,83908,,903218.5,638,0.239208684,,828668.1,576.7,0.219464731,,845388.5,2526.8,0.223892967
hardware/cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat,5200,,90064.9,1283.6,0.384892735,,87725.8,<1,0.374896581,,88333,2275.2,0.377491453
hardware/cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat,83908,,911219,658.8,0.241327539,,855192.8,551.3,0.226489541,,862398.2,2448.6,0.228397822
hardware/cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat,5200,,90105.9,1857.3,0.385067949,,87725.8,<1,0.374896581,,88321.2,2270.2,0.377441026
hardware/cnf_cbpmas_prop_26_21271_2.cnf_12.78000000.sat,83908,,910976.8,567.8,0.241263394,,855192.8,329.4,0.226489541,,862718.7,2149.3,0.228482703
hardware/cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat,83908,,917137,906.1,0.242894864,,857609.2,273.1,0.227129502,,866625.9,2743.5,0.229517487
hardware/cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat,83908,,917068.5,701.4,0.242876722,,857609.2,267.6,0.227129502,,866503.9,2536.3,0.229485177
