Instance,,LS-DivSAT,,,DiverSAT,
,,avg.dis,time,,avg.dis,time
hardware/cnf_cbpmas_prop_10_16008_2.cnf_9.58000000.sat,,24505141.3,3279.3,,23366042.4,3468.7
hardware/cnf_cbpmas_prop_11_16336_2.cnf_8.83000000.sat,,24417760.2,2782.0,,23331806.4,3302.7
hardware/cnf_cbpmas_prop_12_16652_2.cnf_8.53000000.sat,,24437787.4,3089.1,,23330791.3,3340.6
hardware/cnf_cbpmas_prop_13_16976_2.cnf_12.90000000.sat,,24526543.1,2848.6,,23327177.7,3229.7
hardware/cnf_cbpmas_prop_14_17461_2.cnf_15.76000000.sat,,24534734.5,2493.5,,23320823.9,3289.9
hardware/cnf_cbpmas_prop_15_17791_2.cnf_8.99000000.sat,,24518791.4,3052.0,,23289013.4,3508.9
hardware/cnf_cbpmas_prop_16_18128_2.cnf_8.98000000.sat,,24517087.9,2937.9,,23288285.1,3431.6
hardware/cnf_cbpmas_prop_17_18428_2.cnf_12.10000000.sat,,24474477.7,2726.1,,23316094.9,3314.2
hardware/cnf_cbpmas_prop_18_18898_2.cnf_13.26000000.sat,,24475326.6,2681.7,,23321846.4,3422.9
hardware/cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat,,2331578.3,2965.4,,2305000.8,3121.8
hardware/cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat,,24265185.7,2995.8,,23053436.9,3451.6
hardware/cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat,,23666398.6,3078.7,,22411940.1,3380.4
hardware/cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat,,2331369.2,2856.6,,2305148.6,3160.3
hardware/cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat,,23671379.0,3177.5,,22406825.6,3437.6
hardware/cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat,,2331422.9,2723.8,,2305020.4,3214.8
hardware/cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat,,23863851.1,2830.1,,22722813.1,3514.6
hardware/cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat,,2331827.4,3057.8,,2304866.2,3185.1
hardware/cnf_cbpmas_prop_26_21271_2.cnf_12.78000000.sat,,23863568.0,2805.7,,22725324.2,3285.0
hardware/cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat,,24061968.5,2585.7,,22876052.1,3279.9
hardware/cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat,,24061830.1,2798.4,,22874460.5,3324.0
hardware/cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat,,24013496.7,2947.7,,22915862.1,3332.4
hardware/cnf_cbpmas_prop_2_13116_2.cnf_9.98000000.sat,,24271373.1,2942.0,,23059804.7,3458.1
hardware/cnf_cbpmas_prop_30_22919_2.cnf_12.26000000.sat,,24004697.9,3033.2,,22909820.9,3395.7
hardware/cnf_cbpmas_prop_31_23259_2.cnf_8.05000000.sat,,24294863.1,3112.9,,23089892.3,3483.2
hardware/cnf_cbpmas_prop_32_23540_2.cnf_8.67000000.sat,,24300688.5,2663.4,,23072172.6,3362.4
hardware/cnf_cbpmas_prop_33_23781_2.cnf_8.77000000.sat,,24272129.6,2895.8,,23179882.4,3401.6
hardware/cnf_cbpmas_prop_34_24100_2.cnf_7.56000000.sat,,24272344.7,2855.2,,23173056.1,3388.1
hardware/cnf_cbpmas_prop_35_24416_2.cnf_9.77000000.sat,,24313394.3,2752.5,,23109216.1,3248.3
hardware/cnf_cbpmas_prop_36_25058_2.cnf_9.75000000.sat,,24323217.8,2794.5,,23101687.6,3298.6
hardware/cnf_cbpmas_prop_37_25392_2.cnf_0.16000000.sat,,9227354.2,2645.9,,8994166.4,3372.4
hardware/cnf_cbpmas_prop_3_13448_2.cnf_10.10000000.sat,,24146532.1,2747.0,,22907473.7,3448.2
hardware/cnf_cbpmas_prop_4_13712_2.cnf_10.78000000.sat,,24142758.3,2955.7,,22912907.9,3367.8
hardware/cnf_cbpmas_prop_5_13961_2.cnf_7.57000000.sat,,24563386.8,3270.6,,23331532.5,3489.8
hardware/cnf_cbpmas_prop_6_14201_2.cnf_8.90000000.sat,,24558636.2,2961.1,,23340488.2,3329.5
hardware/cnf_cbpmas_prop_7_14730_2.cnf_8.08000000.sat,,24538194.6,2904.0,,23411465.1,3353.2
hardware/cnf_cbpmas_prop_8_15004_2.cnf_8.69000000.sat,,24543773.0,3117.9,,23401205.9,3418.8
hardware/cnf_cbpmas_prop_9_15343_2.cnf_12.07000000.sat,,24505199.8,3215.3,,23354963.5,3380.0
hardware/cnf_cpipe_prop_10_20413_2.cnf_16.84000000.sat,,70631760.7,3150.7,,62708210.0,3157.8
hardware/cnf_cpipe_prop_11_21051_2.cnf_29.93000000.sat,,75549813.8,3184.5,,67618898.7,3205.6
hardware/cnf_cpipe_prop_12_21804_2.cnf_68.17000000.sat,,79440854.3,3170.2,,72319646.2,3175.5
hardware/cnf_cpipe_prop_13_23041_2.cnf_42.17000000.sat,,76186989.3,3198.3,,73062192.0,3207.6
hardware/cnf_cpipe_prop_14_23811_2.cnf_292.62000000.sat,,143955753.8,2299.6,,124744661.6,2302.6
hardware/cnf_cpipe_prop_15_25783_2.cnf_189.85000000.sat,,119641448.7,3055.8,,103342884.9,3077.0
hardware/cnf_cpipe_prop_16_27432_2.cnf_40.15000000.sat,,65756522.8,3181.7,,65797341.3,3191.8
hardware/cnf_cpipe_prop_17_28108_2.cnf_72.55000000.sat,,94282651.5,3303.4,,88201179.7,3316.3
hardware/cnf_cpipe_prop_18_28701_2.cnf_263.71000000.sat,,122556929.5,3318.5,,107695029.8,3330.0
hardware/cnf_cpipe_prop_1_1311_2.cnf_604.73000000.sat,,98881381.7,3294.9,,90232369.0,3325.6
hardware/cnf_cpipe_prop_2_5187_2.cnf_67.86000000.sat,,81773209.0,3233.5,,76779319.2,3242.1
hardware/cnf_cpipe_prop_3_6087_2.cnf_512.33000000.sat,,54189264.2,3466.9,,42839983.8,3467.8
hardware/cnf_cpipe_prop_4_8995_2.cnf_377.48000000.sat,,80188878.8,3411.9,,73280337.9,3418.8
hardware/cnf_cpipe_prop_5_12634_2.cnf_428.11000000.sat,,89531288.2,3208.1,,76328459.5,3219.3
hardware/cnf_cpipe_prop_6_14274_2.cnf_315.20000000.sat,,125521129.7,879.6,,108790576.6,1783.9
hardware/cnf_cpipe_prop_7_16419_2.cnf_111.63000000.sat,,94310273.3,3251.0,,82459723.2,3259.6
